"CON.7","CIA","G 0.14","G 0.15","G 0.16","G 0.17","G 0.18","G 0.19","G 0.20","G 0.29","G 0.30","G 0.31","G 0.35","G 0.36","G 0.39","G 0.42","G 0.45","G 0.46"
"OPS.2.2","CIA","G 0.09","G 0.11","G 0.14","G 0.15","G 0.18","G 0.19","G 0.22","G 0.25","G 0.26","G 0.29","G 0.30","G 0.32","G 0.35","G 0.40","G 0.45"
"OPS.2.2.A01","",,X,,,X,,,,,X,,,,,
"OPS.2.2.A02","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"OPS.2.2.A03","",,,,,X,,,,,X,,,,,
"OPS.2.2.A04","",,,,,X,,,X,X,,,,,,
"OPS.2.2.A05","",,,,,X,X,,X,X,,,,,,
"OPS.2.2.A06","",,,,,X,X,,X,X,,,,,,
"OPS.2.2.A07","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"OPS.2.2.A08","",,X,,,,,,,,,,,,,
"OPS.2.2.A09","",,X,,,X,,,,,X,,,,,
"OPS.2.2.A10","",,,,,X,X,,X,X,,,,,,
"OPS.2.2.A11","",X,X,,,,,,X,X,,,,,,
"OPS.2.2.A12","",,,,,X,,,X,X,X,X,X,,,
"OPS.2.2.A13","",,,,,X,,,X,X,X,X,X,,,
"OPS.2.2.A14","",,X,,,,,,,,,,,,,
"OPS.2.2.A15","A",,X,,,,,,X,X,,,,,,
"OPS.2.2.A16","IA",,X,,,,,,,,,,,,,X
"OPS.2.2.A17","IA",,,X,X,,,,,,,,,,,
"OPS.2.2.A18","CIA",,,,,,,,,,,X,X,,,
"OPS.2.2.A19","CIA",,,X,,,X,,,,X,X,X,X,,
"SYS.2.4","CIA","G 0.14","G 0.16","G 0.17","G 0.18","G 0.19","G 0.21","G 0.23","G 0.28","G 0.29","G 0.30","G 0.31","G 0.32","G 0.39","G 0.45","G 0.46"
"SYS.2.4.A01","",,,,X,,,,,X,X,X,,,X,X
"SYS.2.4.A02","",X,,,,X,X,X,,,,,,X,,
"SYS.2.4.A03","",,,,X,,,X,,,X,X,X,,,
"SYS.2.4.A04","",X,X,X,,X,,,,,X,,,,,
"SYS.2.4.A05","",X,,,,X,X,X,X,,,,,,,
"SYS.2.4.A06","",,,,X,,,,X,,,,,,,
"SYS.2.4.A07","",X,,,X,X,,,,,,,,,,
"SYS.2.4.A08","",X,,,X,X,,,,X,,,,,X,
"SYS.2.4.A09","",X,,,,X,X,X,,,,,,X,,
"SYS.2.4.A10","",,,,X,X,,X,,,,,X,X,,
"SYS.2.4.A11","",X,,,X,X,,,,X,,,,,X,
"SYS.2.4.A12","CIA",X,X,X,,X,X,X,,,X,X,,,,X
"APP.2.3","CIA","G 0.11","G 0.15","G 0.22","G 0.23","G 0.25","G 0.26","G 0.27","G 0.29","G 0.30","G 0.38","G 0.43","G 0.45"
"APP.2.3.A01","",,X,,X,X,,X,,,,X,
"APP.2.3.A02","",,X,,,,,,,X,,,
"APP.2.3.A03","",,X,,,,,,X,X,,,
"APP.2.3.A04","",X,,X,,,,,X,,,X,X
"APP.2.3.A05","",,X,X,,,,,X,,,,
"APP.2.3.A06","",,X,,,,,,X,,,,
"APP.2.3.A07","",,,,,,X,,,X,,,
"APP.2.3.A08","",,,,,,,,,,,,X
"APP.2.3.A09","",,X,,,,X,,,,,X,
"APP.2.3.A10","",,X,,,,,,,X,,,
"APP.2.3.A11","",,X,,,,,X,,,X,,
"APP.2.3.A12","",,X,,,,,,,,,,
"APP.2.3.A13","",,X,,,,,,,,,X,
"INF.6","CIA","G 0.01","G 0.02","G 0.03","G 0.04","G 0.16","G 0.19","G 0.21","G 0.24","G 0.32","G 0.44","G 0.45","G 0.46"
"INF.6.A01","",X,,,,,,,,,X,,
"INF.6.A02","",,,,,X,X,X,X,X,X,,X
"INF.6.A03","",X,,,X,X,X,X,X,,X,,X
"INF.6.A04","",X,,X,X,X,X,X,X,X,,,X
"INF.6.A05","",,,,,X,,,,,,,
"INF.6.A06","",,,X,,,,,,,,X,
"INF.6.A07","",,X,,,,,,,,,,
"INF.6.A08","",X,,X,,X,X,X,X,X,X,,X
"INF.6.A09","CIA",X,,X,,,,,,,X,,
"SYS.1.7","CIA","G 0.14","G 0.18","G 0.19","G 0.20","G 0.21","G 0.22","G 0.23","G 0.25","G 0.26","G 0.27","G 0.28","G 0.30","G 0.31","G 0.32","G 0.33","G 0.36","G 0.37","G 0.39","G 0.40","G 0.43","G 0.45","G 0.46"
"SYS.1.7.A01","",X,,X,,X,X,X,,,,,X,,X,,X,X,,X,,X,X
"SYS.1.7.A02","",X,,X,,X,X,X,,,,,X,,X,,X,X,,X,,X,X
"SYS.1.7.A03","",,,,X,X,X,X,X,X,,X,X,,,,,,,X,X,X,X
"SYS.1.7.A04","",,X,X,,,,,,,,,,X,,,,,,,,X,X
"SYS.1.7.A05","",X,,X,,X,X,X,,,,,X,,,,,,,,X,X,X
"SYS.1.7.A06","",X,,X,X,X,X,X,,,,,X,,,,X,,,,X,X,X
"SYS.1.7.A07","",X,,X,,X,X,X,,,,,X,,X,,X,X,,,,X,X
"SYS.1.7.A08","",X,X,X,,X,X,X,,,,,X,,X,,X,X,X,,,X,X
"SYS.1.7.A09","",X,X,X,,X,X,,,,,,X,X,X,,X,X,X,,X,X,X
"SYS.1.7.A10","",X,,X,,,X,X,,,,,X,,,,,,,X,X,X,X
"SYS.1.7.A11","",X,,X,,,,X,,,,,X,,X,,X,X,,,X,,
"SYS.1.7.A12","",,X,,,,,,,,X,,,X,,X,,,,,,,
